country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","22-01-2026 19:00:00",28.5710274,77.0719006,PM2.5,180,426,352
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","22-01-2026 19:00:00",28.5710274,77.0719006,NO2,53,157,91
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","22-01-2026 19:00:00",28.5710274,77.0719006,NH3,15,25,19
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","22-01-2026 19:00:00",28.542460,77.191651,PM10,137,419,214
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","22-01-2026 19:00:00",23.016834,72.625775,CO,53,121,72
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","22-01-2026 19:00:00",23.041137,72.456691,PM10,104,187,148
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","22-01-2026 19:00:00",23.023389,72.515201,PM2.5,64,182,106
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","22-01-2026 19:00:00",23.023389,72.515201,NH3,7,13,10
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","22-01-2026 19:00:00",23.023389,72.515201,SO2,6,111,23
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","22-01-2026 19:00:00",23.023389,72.515201,CO,20,88,26
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","22-01-2026 19:00:00",23.076793,72.627874,PM10,116,176,142
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","22-01-2026 19:00:00",23.076793,72.627874,SO2,6,39,13
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","22-01-2026 19:00:00",21.613267,73.010555,PM2.5,70,131,94
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","22-01-2026 19:00:00",21.613267,73.010555,PM10,81,250,142
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","22-01-2026 19:00:00",21.613267,73.010555,NO2,21,27,26
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","22-01-2026 19:00:00",30.379589,76.778328,PM2.5,69,157,116
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","22-01-2026 19:00:00",28.6701,76.9254,NO2,12,14,13
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","22-01-2026 19:00:00",28.3419248,77.319699,PM2.5,145,397,292
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","22-01-2026 19:00:00",28.3419248,77.319699,SO2,1,7,5
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","22-01-2026 19:00:00",28.3419248,77.319699,OZONE,15,15,15
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","22-01-2026 19:00:00",28.806223,76.141105,NH3,1,9,8
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","22-01-2026 19:00:00",28.806223,76.141105,CO,10,14,12
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","22-01-2026 19:00:00",28.593883,76.270653,PM10,59,252,137
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","22-01-2026 19:00:00",28.672342,77.315260,NH3,11,14,12
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","22-01-2026 19:00:00",28.699793,77.165453,PM10,279,491,389
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","22-01-2026 19:00:00",28.699793,77.165453,NH3,9,12,11
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","22-01-2026 19:00:00",23.107969,72.574648,PM2.5,74,163,105
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","22-01-2026 19:00:00",23.107969,72.574648,NO2,22,67,40
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","22-01-2026 19:00:00",22.977134,72.553024,CO,26,113,35
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","22-01-2026 19:00:00",22.977134,72.553024,OZONE,1,118,67
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","22-01-2026 19:00:00",23.002657,72.591912,PM10,101,193,134
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","22-01-2026 19:00:00",23.002657,72.591912,OZONE,31,133,100
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","22-01-2026 19:00:00",28.593883,76.270653,CO,5,25,11
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","22-01-2026 19:00:00",28.206800,76.799700,NO2,14,51,38
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","22-01-2026 19:00:00",28.206800,76.799700,CO,78,103,98
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","22-01-2026 19:00:00",28.4417,77.3217,PM10,162,176,168
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","22-01-2026 19:00:00",28.4417,77.3217,SO2,6,6,6
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","22-01-2026 19:00:00",29.503664,75.467934,NH3,13,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","22-01-2026 19:00:00",29.503664,75.467934,SO2,10,11,10
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","22-01-2026 19:00:00",28.422681,77.148944,NO2,8,69,31
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","22-01-2026 19:00:00",28.4227,77.0667,CO,20,102,40
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","22-01-2026 19:00:00",28.4501238,77.0263051,NO2,9,45,26
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","22-01-2026 19:00:00",29.140560,75.744941,NO2,26,27,26
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","22-01-2026 19:00:00",29.8006,76.4155,SO2,30,32,31
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","22-01-2026 19:00:00",29.695300,77.002700,PM2.5,91,311,186
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","22-01-2026 19:00:00",28.563262,77.186937,OZONE,7,177,123
India,Delhi,Delhi,"Rohini, Delhi - DPCC","22-01-2026 19:00:00",28.732528,77.119920,SO2,5,16,9
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","22-01-2026 19:00:00",28.710508,77.249485,PM2.5,207,440,359
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","22-01-2026 19:00:00",28.710508,77.249485,CO,50,168,60
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","22-01-2026 19:00:00",28.710508,77.249485,OZONE,7,237,132
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","22-01-2026 19:00:00",28.531346,77.190156,PM2.5,130,349,259
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","22-01-2026 19:00:00",21.613267,73.010555,OZONE,4,89,66
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","22-01-2026 19:00:00",23.221714,72.654328,PM2.5,78,162,104
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","22-01-2026 19:00:00",23.221714,72.654328,PM10,89,177,121
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","22-01-2026 19:00:00",20.362421,72.918013,PM10,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","22-01-2026 19:00:00",20.362421,72.918013,NO2,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","22-01-2026 19:00:00",20.362421,72.918013,OZONE,8,23,21
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","22-01-2026 19:00:00",28.530785,77.271255,NH3,14,33,20
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","22-01-2026 19:00:00",28.623763,77.287209,NO2,46,170,102
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","22-01-2026 19:00:00",28.674045,77.131023,OZONE,5,84,62
India,Delhi,Delhi,"Pusa, Delhi - DPCC","22-01-2026 19:00:00",28.639652,77.146275,CO,32,104,58
India,Delhi,Delhi,"Pusa, Delhi - IMD","22-01-2026 19:00:00",28.636110,77.173332,OZONE,8,308,220
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","22-01-2026 19:00:00",29.966942,76.875879,NO2,16,21,18
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","22-01-2026 19:00:00",28.360699,76.936090,OZONE,5,23,15
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","22-01-2026 19:00:00",28.060249,76.113115,NO2,99,141,111
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","22-01-2026 19:00:00",13.0270199,77.494094,PM10,71,102,86
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","22-01-2026 19:00:00",13.0270199,77.494094,NH3,3,5,4
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","22-01-2026 19:00:00",13.0270199,77.494094,OZONE,21,21,21
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","22-01-2026 19:00:00",12.921418,77.502466,CO,4,22,10
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","22-01-2026 19:00:00",12.990328,77.5431385,PM10,50,62,57
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","22-01-2026 19:00:00",12.990328,77.5431385,SO2,6,7,6
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","22-01-2026 19:00:00",13.0246342,77.5080115,PM2.5,23,40,30
